"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","15000","_12_AttachExistingBOMItemToTheItem","","Mon Aug 03 09:30:48 UTC 2026","passed","Mon Aug 03 09:31:03 UTC 2026","","Arena Test Plan","Arena Test Plan",""
"","15000","_12_DeleteMaterial","","Mon Aug 03 08:42:03 UTC 2026","passed","Mon Aug 03 08:42:18 UTC 2026","","Acumatica","Acumatica",""
"","37000","_05_InsertOperation","","Mon Aug 03 10:01:30 UTC 2026","passed","Mon Aug 03 10:02:07 UTC 2026","","Syspro Test Plan","Syspro Test Plan",""
"","5000","_02_GlobalizationDisplay","","Mon Aug 03 09:46:39 UTC 2026","passed","Mon Aug 03 09:46:44 UTC 2026","","General CADTalk Test Plan","General CADTalk Test Plan",""
"","16000","_10_UpdateTheFile","","Mon Aug 03 09:30:48 UTC 2026","passed","Mon Aug 03 09:31:04 UTC 2026","","Arena Test Plan","Arena Test Plan",""
"","213000","_03_Login","","Mon Aug 03 06:35:09 UTC 2026","passed","Mon Aug 03 06:38:42 UTC 2026","","IFS_Apps10_EngPart","IFS_Apps10_EngPart",""
"","16000","_07_UpdateExistingBOMItem","","Mon Aug 03 09:30:48 UTC 2026","passed","Mon Aug 03 09:31:04 UTC 2026","","Arena Test Plan","Arena Test Plan",""
"","40000","_04_UpdateStockCode","","Mon Aug 03 10:01:30 UTC 2026","passed","Mon Aug 03 10:02:10 UTC 2026","","Syspro Test Plan","Syspro Test Plan",""
"","23000","_09_UpdateOperation","","Mon Aug 03 08:42:03 UTC 2026","passed","Mon Aug 03 08:42:26 UTC 2026","","Acumatica","Acumatica",""
"","116000","_15_SysproChangesBoard","","Mon Aug 03 09:46:39 UTC 2026","passed","Mon Aug 03 09:48:35 UTC 2026","","General CADTalk Test Plan","General CADTalk Test Plan",""
"","5000","_06_AboutButton","","Mon Aug 03 09:46:39 UTC 2026","passed","Mon Aug 03 09:46:44 UTC 2026","","General CADTalk Test Plan","General CADTalk Test Plan",""
"","52000","_09_InsertTheMaterialFromSearch","","Mon Aug 03 10:01:30 UTC 2026","passed","Mon Aug 03 10:02:22 UTC 2026","","Syspro Test Plan","Syspro Test Plan",""
"","18000","_08_UpdateTheMaterial","","Mon Aug 03 10:39:43 UTC 2026","passed","Mon Aug 03 10:40:01 UTC 2026","","Syteline","Syteline",""
"","8000","_09_LoadSupplierPart","","Mon Aug 03 07:18:04 UTC 2026","passed","Mon Aug 03 07:18:12 UTC 2026","","WindchillTestPlan","WindchillTestPlan",""
